Questions,Category
About what proportion of the population of the US is living on farms?,BT1
Correctly label the brain lobes indicated on the diagram below,BT1
Define compound interest.,BT1
Define four types of traceability,BT1
Define mercantilism.,BT1
"Define stream bank, floodplain and substrate.",BT1
Define the meaning of the Olympic Motto.,BT1
Draw and label a diagram of a typical stream.,BT1
Draw the basic outline of a page of notes using the Cornell Method?,BT1
Draw the block diagram of the central processing unit ,BT1
Draw the flow chart of the PNK system,BT1
How many instructions in the instruction set of RISC computer?,BT1
How many kilometers from your home to the university,BT1
How many loop statement available in c++?,BT1
How many states are there in USA,BT1
How many years does this animal live?,BT1
How much data can be stored in the cach memory,BT1
How much did he pay for his car,BT1
How much is your weight,BT1
How much time did he took to build a house,BT1
How much water does an elephant drink,BT1
Identify a phrase as a simile,BT1
"Identify a property (commutative, additive, etc(",BT1
Identify fractions from a pictorial representation,BT1
Identify ordinal positions,BT1
Identify the correct definition of osmosis,BT1
Identify the five major prophets of the Old Testament.,BT1
Identify the part of a eukaryotic cell.,BT1
Identify the standard peripheral components of a computer.,BT1
Identify which word begins with the same sound as the s in sun (Knowledge of letter s),BT1
in which countries is arabic language spoken,BT1
in which continent does the state of suriname fall,BT1
In Which part of the world does he live,BT1
Label any Olympic sporting apparatus with design features.,BT1
Label the parts of the following insects: Grasshopper,BT1
Label the parts of the microscope shown on the right,BT1
List four types of clauses mentioned in the article,BT1
List reserved words in C programming.,BT1
List the characteristics peculiar to the Cubist movement.,BT1
List the levels in Bloom's Taxonomy.,BT1
List the procedure to draw a mixed potential or Evans' diagram,BT1
List the steps involved in titration.,BT1
List three characteristics that are unique to the Cubist movement.,BT1
List three predominant economic systems that exist,BT1
Look at the symbol. What is the symbol’s purpose on a map?,BT1
Make a list of facts you learned from the story.,BT1
Name 5 steps that follow the taking of notes (within 24 hours or less)?,BT1
Name the artist who painted the Mona Lisa.,BT1
Name the food groups and at least two items of food in each group.,BT1
Name the four major food groups.,BT1
Name the main characters in the story.,BT1
Name the property that states that,BT1
Please label the diagram below:,BT1
Recall basic math facts,BT1
Recall locations of a historical events,BT1
Recall the definition of the formula datatype from your assignment 2.,BT1
Recall the equation for the Ideal Gas Law.,BT1
Recall the following pictoral example of an implementation of some queue operations,BT1
recall the supply voltage constraints,BT1
Recite a policy of immigration in Europe .,BT1
"Recite the poem ""Auto Wreck"".",BT1
Recite the principles of the Data Protection Act.,BT1
Recite the the Gaussian law,BT1
State four attributes of well engineered software.,BT1
State how to find a word in a dictionary,BT1
State the characteristics of each type of corrosion testing studied,BT1
State the definition of application in Bloom's Taxonomy.,BT1
State the formula for the area of a circle,BT1
State the guidelines to design an anodic protection system,BT1
State the pattern for expressing time in French.,BT1
Compare Calliope with Howie. Use the word bank.,BT2
Compare historical events to contemporary situations,BT2
Complete an analogy (analogy tasks are inference tasks),BT2
Describe 4 types of coupling in software design.,BT2
Describe how Phillip and Timothy survived on the Cay.,BT2
Describe in prose what is shown in graph form.,BT2
Describe in your own words how to borrow a book from the library.,BT2
Describe in your own words how to copy text from one program into another.,BT2
Describe in your own words what happens when a stream's velocity slows.,BT2
Describe in your own words what is meant by a sprained ankle.,BT2
Describe nuclear transport to a lay person.,BT2
Describe the Pareto Principle in statistical software quality assurance.,BT2
Describe what goes in each of the four areas on the first page of notes,BT2
Describe what took place as the Hato was sinking.,BT2
Describe how the linear polarization method can yield corrosion rates,BT2
Describe the major clinical differences between visceral and somatic pain,BT2
Briefly describe the author's approach to the liabilities of the GOTO statement,BT2
Describe what happened at...?,BT2
Determine the author’s point of view,BT2
Determine the next number in a sequence,BT2
Discuss the nature of socialism.,BT2
Explain how Timothy saved Phillip's life.,BT2
Explain in one's own words how to create a query in a database.,BT2
Explain in your own words what a recessive gene is.,BT2
Explain in your own words what do you mean by the term economics?,BT2
Explain in your own words what is meant by mercantilism.,BT2
Explain the causes of historical events,BT2
Explain the communicative property.,BT2
